
, 2018-08-29 18:58:58.058250 
5.02, 4.01, 5.45
, 2018-08-29 18:58:58.156206 
4.92, 4.01, 5.57
, 2018-08-29 18:58:58.259216 
5.02, 4.01, 5.57
, 2018-08-29 18:58:58.357327 
5.02, 4.01, 5.45
, 2018-08-29 18:58:58.454928 
5.02, 3.89, 5.56
, 2018-08-29 18:58:58.558032 
4.92, 4.01, 5.57
, 2018-08-29 18:58:58.656004 
5.02, 4.01, 5.56
, 2018-08-29 18:58:58.753922 
5.02, 4.00, 5.45
, 2018-08-29 18:58:58.856817 
5.02, 3.89, 5.56
, 2018-08-29 18:58:58.954557 
4.92, 4.01, 5.56
, 2018-08-29 18:58:59.057421 
5.02, 4.01, 5.47
, 2018-08-29 18:58:59.155439 
5.02, 3.89, 5.56
, 2018-08-29 18:58:59.258257 
4.92, 4.01, 5.56
, 2018-08-29 18:58:59.356025 
5.02, 4.01, 5.57
, 2018-08-29 18:58:59.459027 
5.02, 4.01, 5.45
, 2018-08-29 18:58:59.557193 
5.02, 3.91, 5.56
, 2018-08-29 18:58:59.659919 
4.92, 4.01, 5.57
, 2018-08-29 18:58:59.758018 
5.02, 4.01, 5.45
, 2018-08-29 18:58:59.856054 
5.02, 3.89, 5.45
, 2018-08-29 18:58:59.958803 
4.92, 4.01, 5.56
, 2018-08-29 18:59:00.056899 
5.02, 4.01, 5.57
, 2018-08-29 18:59:00.155535 
5.02, 4.01, 5.45
, 2018-08-29 18:59:00.253271 
5.02, 3.89, 5.57
, 2018-08-29 18:59:00.355922 
4.92, 4.01, 5.56
, 2018-08-29 18:59:00.453771 
5.02, 4.01, 5.57
, 2018-08-29 18:59:00.556436 
5.02, 4.00, 5.45
, 2018-08-29 18:59:00.655486 
4.92, 4.00, 5.57
, 2018-08-29 18:59:00.757226 
5.02, 4.00, 5.57
, 2018-08-29 18:59:00.856266 
5.02, 4.00, 5.45
, 2018-08-29 18:59:00.957990 
5.02, 3.89, 5.57
, 2018-08-29 18:59:01.057012 
4.92, 4.00, 5.57
, 2018-08-29 18:59:01.158584 
5.02, 4.01, 5.56
, 2018-08-29 18:59:01.256696 
5.02, 4.00, 5.45
, 2018-08-29 18:59:01.357722 
4.92, 4.01, 5.56
, 2018-08-29 18:59:01.457301 
5.02, 4.01, 5.57
, 2018-08-29 18:59:01.556497 
5.02, 4.00, 5.45
, 2018-08-29 18:59:01.658077 
5.02, 3.89, 5.56
, 2018-08-29 18:59:01.757388 
4.92, 4.01, 5.57
, 2018-08-29 18:59:01.858831 
5.02, 4.01, 5.56
, 2018-08-29 18:59:01.958342 
5.02, 4.01, 5.45
, 2018-08-29 18:59:02.055993 
5.02, 3.91, 5.57
, 2018-08-29 18:59:02.157787 
4.92, 4.01, 5.56
, 2018-08-29 18:59:02.256795 
5.02, 4.01, 5.45
, 2018-08-29 18:59:02.354621 
5.02, 3.89, 5.56
, 2018-08-29 18:59:02.457450 
4.92, 4.00, 5.57
, 2018-08-29 18:59:02.555381 
5.02, 4.01, 5.56
, 2018-08-29 18:59:02.658161 
5.02, 4.01, 5.45
, 2018-08-29 18:59:02.756034 
5.02, 3.89, 5.56
, 2018-08-29 18:59:02.862924 
4.92, 4.01, 5.57
, 2018-08-29 18:59:02.964896 
5.02, 4.00, 5.45
, 2018-08-29 18:59:03.059355 
5.02, 3.91, 5.45
, 2018-08-29 18:59:03.162343 
4.92, 4.01, 5.56
, 2018-08-29 18:59:03.260326 
5.02, 4.01, 5.56
, 2018-08-29 18:59:03.358459 
5.02, 4.01, 5.47
, 2018-08-29 18:59:03.461182 
5.02, 3.91, 5.57
, 2018-08-29 18:59:03.559485 
4.92, 4.01, 5.56
, 2018-08-29 18:59:03.657229 
5.02, 4.00, 5.56
, 2018-08-29 18:59:03.760204 
5.02, 4.00, 5.45
, 2018-08-29 18:59:03.862994 
4.92, 4.01, 5.56
, 2018-08-29 18:59:03.957413 
5.02, 4.01, 5.57
, 2018-08-29 18:59:04.058914 
8.55, 29.65
, 2018-08-29 18:59:04.161439 

, 2018-08-29 18:59:04.254672 
21.28, 28.76, 29.10
, 2018-08-29 18:59:04.358939 
20.20, 27.94, 29.19
, 2018-08-29 18:59:04.456767 
19.17, 28.19, 29.41
, 2018-08-29 18:59:04.559785 
18.04, 27.73, 29.40
, 2018-08-29 18:59:04.657535 
18.66, 27.37, 29.50
, 2018-08-29 18:59:04.756416 
20.10, 28.55, 29.65
, 2018-08-29 18:59:04.857999 
27.39, 3061.26, 30.00
, 2018-08-29 18:59:04.960912 
26.45, 28.91, 29.26
, 2018-08-29 18:59:05.058876 
26.79, 30.15, 29.24
, 2018-08-29 18:59:05.161764 
26.41, 29.26, 29.34
, 2018-08-29 18:59:05.259855 
26.81, 30.34, 29.55
, 2018-08-29 18:59:05.357593 
26.51, 29.50, 29.46
, 2018-08-29 18:59:05.456709 
28.81, 28.88, 29.62
, 2018-08-29 18:59:05.558129 
29.07, 29.55, 29.93
, 2018-08-29 18:59:05.661135 
27.58, 30.00, 29.62
, 2018-08-29 18:59:05.763026 
26.89, 30.32, 30.12
, 2018-08-29 18:59:05.862444 
27.18, 29.60, 30.27
, 2018-08-29 18:59:05.960396 
27.80, 30.03, 30.84
, 2018-08-29 18:59:06.058188 
28.33, 29.82, 31.09
, 2018-08-29 18:59:06.157210 
28.86, 30.18, 31.59
, 2018-08-29 18:59:06.258511 
29.28, 31.01, 31.90
, 2018-08-29 18:59:06.358136 
29.89, 31.26, 32.21
, 2018-08-29 18:59:06.464845 
32.24, 32.04, 32.86
, 2018-08-29 18:59:06.562722 
32.81, 32.93, 33.22
, 2018-08-29 18:59:06.660693 
32.71, 33.63, 33.63
, 2018-08-29 18:59:06.760142 
29.48, 33.70, 33.79
, 2018-08-29 18:59:06.861355 
33.96, 35.55, 34.27
, 2018-08-29 18:59:06.964460 
30.78, 35.24, 34.56
, 2018-08-29 18:59:07.062665 
29.26, 34.93, 35.23
, 2018-08-29 18:59:07.160731 
33.79, 35.86, 35.89
, 2018-08-29 18:59:07.259864 
34.04, 36.68, 36.34
, 2018-08-29 18:59:07.361447 
34.25, 3062.75, 37.73
, 2018-08-29 18:59:07.460766 
33.48, 35.14, 38.04
, 2018-08-29 18:59:07.562075 
33.84, 36.56, 37.58
, 2018-08-29 18:59:07.660205 
34.23, 35.91, 37.47
, 2018-08-29 18:59:07.762960 
33.82, 36.38, 37.58
, 2018-08-29 18:59:07.861026 
33.87, 35.52, 37.73
, 2018-08-29 18:59:07.960408 
34.03, 35.76, 37.88
, 2018-08-29 18:59:08.061655 
34.66, 35.91, 37.90
, 2018-08-29 18:59:08.164413 
34.49, 36.07, 38.43
, 2018-08-29 18:59:08.262642 
34.71, 36.63, 38.14
, 2018-08-29 18:59:08.360535 
34.90, 36.70, 38.14
, 2018-08-29 18:59:08.459673 
35.05, 36.74, 38.14
, 2018-08-29 18:59:08.561200 
35.16, 36.79, 37.99
, 2018-08-29 18:59:08.664318 
35.26, 37.68, 37.99
, 2018-08-29 18:59:08.762212 
34.92, 36.86, 37.52
, 2018-08-29 18:59:08.860547 
35.38, 36.84, 37.94
, 2018-08-29 18:59:08.963235 
35.48, 37.71, 37.59
, 2018-08-29 18:59:09.061467 
35.53, 37.27, 37.78
, 2018-08-29 18:59:09.163141 
35.67, 36.86, 38.09
, 2018-08-29 18:59:09.262404 
35.77, 38.48, 37.42
, 2018-08-29 18:59:09.363945 
35.47, 36.63, 36.91
, 2018-08-29 18:59:09.463236 
35.93, 36.70, 37.11
, 2018-08-29 18:59:09.561454 
35.89, 36.17, 36.91
, 2018-08-29 18:59:09.663059 
35.79, 36.84, 36.96
, 2018-08-29 18:59:09.762369 
35.62, 36.38, 37.37
, 2018-08-29 18:59:09.863998 
34.92, 3062.96, 37.32
, 2018-08-29 18:59:09.962294 
34.35, 9.38, 35.95
, 2018-08-29 18:59:10.064858 
34.45, 34.27, 36.19
, 2018-08-29 18:59:10.163143 
33.22, 34.40, 35.91
, 2018-08-29 18:59:10.265931 
33.05, 34.93, 35.84
, 2018-08-29 18:59:10.364080 
32.91, 35.04, 35.64
, 2018-08-29 18:59:10.465869 
32.24, 35.55, 35.04
, 2018-08-29 18:59:10.564055 
30.56, 3056.28, 34.78
, 2018-08-29 18:59:10.663493 
30.15, 30.03, 32.10
, 2018-08-29 18:59:10.764888 
30.29, 30.24, 31.69
, 2018-08-29 18:59:10.863093 
29.94, 30.20, 31.49
, 2018-08-29 18:59:10.966160 
27.18, 3068.56, 32.07
, 2018-08-29 18:59:11.064455 
27.06, 26.48, 28.38
, 2018-08-29 18:59:11.162517 
26.65, 28.40, 27.99
, 2018-08-29 18:59:11.265286 
26.05, 27.49, 28.30
, 2018-08-29 18:59:11.363524 
ó5.02, 3.88, 5.04
, 2018-08-29 19:00:51.293145 
5.11, 3.88, 5.32
, 2018-08-29 19:00:51.312784 
5.13, 3.88, 5.32
, 2018-08-29 19:00:51.322686 
5.13, 3.88, 5.45
, 2018-08-29 19:00:51.332645 
5.13, 3.88, 5.35
, 2018-08-29 19:00:51.344104 
4.99, 3.88, 5.35
, 2018-08-29 19:00:51.354700 
4.99, 3.88, 5.35
, 2018-08-29 19:00:51.364611 
4.99, 3.77, 5.45
, 2018-08-29 19:00:51.374520 
5.13, 3.65, 5.45
, 2018-08-29 19:00:51.383840 
5.08, 3.69, 5.32
, 2018-08-29 19:00:51.393401 
5.02, 3.88, 5.32
, 2018-08-29 19:00:51.402768 
5.13, 3.74, 5.35
, 2018-08-29 19:00:51.412199 
5.13, 3.65, 5.45
, 2018-08-29 19:00:51.416481 
5.02, 3.76, 5.47
, 2018-08-29 19:00:51.420888 
5.13, 3.74, 5.45
, 2018-08-29 19:00:51.425224 
5.13, 3.74, 5.35
, 2018-08-29 19:00:51.429359 
5.13, 3.65, 5.45
, 2018-08-29 19:00:51.433675 
5.02, 3.76, 5.45
, 2018-08-29 19:00:51.437675 
5.13, 3.76, 5.35
, 2018-08-29 19:00:51.442182 
5.13, 3.64, 5.35
, 2018-08-29 19:00:51.446441 
5.02, 3.76, 5.47
, 2018-08-29 19:00:51.450509 
5.13, 3.76, 5.45
, 2018-08-29 19:00:51.455115 
5.13, 3.74, 5.35
, 2018-08-29 19:00:51.459085 
5.13, 3.64, 5.47
, 2018-08-29 19:00:51.463671 
5.02, 3.76, 5.45
, 2018-08-29 19:00:51.467847 
5.13, 3.74, 5.45
, 2018-08-29 19:00:51.471772 
5.13, 3.76, 5.35
, 2018-08-29 19:00:51.475778 
5.02, 3.76, 5.45
, 2018-08-29 19:00:51.479511 
5.13, 3.74, 5.45
, 2018-08-29 19:00:51.483297 
5.13, 3.74, 5.35
, 2018-08-29 19:00:51.487030 
5.13, 3.64, 5.45
, 2018-08-29 19:00:51.490801 
5.02, 3.76, 5.45
